file_id,status,scene,scene_title,speaker_key,character,delivery_note,line,chars
vo_s1_006_danny,SHIPPED,s1,"STAGE 1 ""THE BIG OOPS"" - Central District (Part IV.1)",danny,SUPER DUDE DANNY,"B3 start. Urgent, shouting into the radio, then locking in.",Vic? VIC! Hang on — I'm booting the grid. Just gotta hold this spot!,68
vo_s1_007_vic,SHIPPED,s1,"STAGE 1 ""THE BIG OOPS"" - Central District (Part IV.1)",vic,TIMETECH VIC,"Radio, clearer now. Warm under the dry. Then a warning.",There's the boss I remember. Door's unlocked. But… you've got company.,70
vo_s1_008_danny,SHIPPED,s1,"STAGE 1 ""THE BIG OOPS"" - Central District (Part IV.1)",danny,SUPER DUDE DANNY,"Boss reveal. Gulp, then grin. Comic beat before the battle cry.",…that is the biggest hot dog I have ever seen. SUPER DUDE — GO!,63
vo_s1_009_danny,SHIPPED,s1,"STAGE 1 ""THE BIG OOPS"" - Central District (Part IV.1)",danny,SUPER DUDE DANNY,"Boss defeated. Winded, pleased with his own joke.","Phew. Extra mustard, hold the apocalypse.",41
vo_s1_010_vic,SHIPPED,s1,"STAGE 1 ""THE BIG OOPS"" - Central District (Part IV.1)",vic,TIMETECH VIC,"Rescue. Dry, relieved, in person for the first time.","Took you long enough, boss. Nice explosion, by the way.",55
vo_s1_011_danny,SHIPPED,s1,"STAGE 1 ""THE BIG OOPS"" - Central District (Part IV.1)",danny,SUPER DUDE DANNY,"Confessing. Small, ashamed, honest.",Vic — I messed up huge. The Ray re-coded. I can't fix it alone.,63
vo_s1_012_vic,SHIPPED,s1,"STAGE 1 ""THE BIG OOPS"" - Central District (Part IV.1)",vic,TIMETECH VIC,Softening. The warmth finally shows.,Then it's a good thing you didn't come alone.,45
vo_s1_013_vic,SHIPPED,s1,"STAGE 1 ""THE BIG OOPS"" - Central District (Part IV.1)",vic,TIMETECH VIC,"Back to business, clipping a chip into his wrist-pad.","There. Tech grid's live — that's how we get everyone else back. One down, four to go.",85
vo_s1_014_vic,SHIPPED,s1,"STAGE 1 ""THE BIG OOPS"" - Central District (Part IV.1)",vic,TIMETECH VIC,"Tutorial nudge toward the shops. Light, practical.",Spend what you earned before we roll out. Upgrades keep us breathing.,69
vo_chant_001_danny,SHIPPED,chant,"THE CHANT - call & response, fires at EVERY rescue and the finale",danny,SUPER DUDE DANNY,"Call. Big, joyful, arm raised. Record 3 takes: normal / tired / triumphant-huge.",For peace—!,11
vo_chant_002_vic,SHIPPED,chant,"THE CHANT - call & response, fires at EVERY rescue and the finale",vic,TIMETECH VIC,"Response. Record this line for EVERY hero (vic, josh, kevin, carlos, nayah) - whoever was just rescued answers.",For love—!,10
vo_chant_003_danny,SHIPPED,chant,"THE CHANT - call & response, fires at EVERY rescue and the finale",danny,SUPER DUDE DANNY,"Both together, shouted. Record solo Danny AND a group-shout version for the finale.",VICTORY!,8
vo_s2_001_josh,WRITTEN,s2,"STAGE 2 ""GONE WILD"" - Adventure Park (Part IV.2)",josh,ZOOKEEPER JOSH,"Radio intro. Mid-wrangle, soothing an animal, then casually asks for help.","…easy now… easy… — oh, hey. Little help? The park's critters got into the junk and they are not themselves.",107
vo_s2_002_danny,WRITTEN,s2,"STAGE 2 ""GONE WILD"" - Adventure Park (Part IV.2)",danny,SUPER DUDE DANNY,"Reassuring, then the joke lands on himself.","Hang on, Josh — sending the cavalry. Me. I'm the cavalry.",57
vo_s2_003_josh,WRITTEN,s2,"STAGE 2 ""GONE WILD"" - Adventure Park (Part IV.2)",josh,ZOOKEEPER JOSH,Boss intro. Alarmed but still gentle toward the monster.,That's a big'un! Don't hurt it more'n you gotta — it didn't ask for this!,73
vo_s2_004_josh,WRITTEN,s2,"STAGE 2 ""GONE WILD"" - Adventure Park (Part IV.2)",josh,ZOOKEEPER JOSH,"Rescue. Warm, grinning, no surprise at all.",Knew you'd come. Poor things are just scared and stuffed full of sugar.,71
vo_s2_005_danny,WRITTEN,s2,"STAGE 2 ""GONE WILD"" - Adventure Park (Part IV.2)",danny,SUPER DUDE DANNY,Rescue.,Can you wrangle the rest?,25
vo_s2_006_josh,WRITTEN,s2,"STAGE 2 ""GONE WILD"" - Adventure Park (Part IV.2)",josh,ZOOKEEPER JOSH,Rescue button line. Total quiet confidence.,"Son, wranglin's all I do.",25
vo_s3_001_kevin,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",kevin,CAPTAIN KEVIN,"Radio intro. Warm authority. ""together"" is the key word.","Danny, the whole neighborhood's snowed in — frosting to the rooftops. Folks are trapped. Let's get 'em out, together.",117
vo_s3_002_danny,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",danny,SUPER DUDE DANNY,"Taking in the absurdity, then committing. NEW connective line.","Frosting to the— Kevin, there is a HOUSE with a CHERRY on it. Okay. Digging in.",79
vo_s3_003_kevin,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",kevin,CAPTAIN KEVIN,"After the cul-de-sac clears. Steady, next objective. NEW.",Good start. The school's the worst of it — the kids got stuck inside when the frosting came down.,97
vo_s3_004_danny,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",danny,SUPER DUDE DANNY,Setting off for the school. Determined. NEW.,Three kids still inside. Doors are frosted shut. Not for long.,62
vo_s3_005_pip,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",pip,PIP,"Trapped in the school, thrilled rather than scared.","I KNEW you'd come, Super Dude!",30
vo_s3_006_danny,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",danny,SUPER DUDE DANNY,"Gentle, protective, teaching a kid the lesson.","Stick close, Pip. Heroes look out for each other.",49
vo_s3_007_kevin,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",kevin,CAPTAIN KEVIN,Third kid freed. Quiet pride. NEW.,"That's every kid accounted for. Well done, Danny.",49
vo_s3_008_kevin,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",kevin,CAPTAIN KEVIN,Pivot to the shelter. NEW.,Folks are sheltering at the Rec Center — and the sugar horde is sniffing around the ballfield.,94
vo_s3_009_kevin,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",kevin,CAPTAIN KEVIN,Defend brief. Calm command. NEW.,"Hold the ballfield, Danny. Sixty seconds and the shelter doors are sealed.",74
vo_s3_010_danny,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",danny,SUPER DUDE DANNY,"Two words, grinning, bat-ready. NEW.",Batter up.,10
vo_s3_011_kevin,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",kevin,CAPTAIN KEVIN,Defend done; the boss stirs. Ominous but level. NEW.,Doors sealed. …You hear that? Something big just left the Bakery. Something with candles.,89
vo_s3_012_danny,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",danny,SUPER DUDE DANNY,Boss reveal. Awe then alarm. NEW.,That is the biggest birthday cake I have ever seen. And it is FURIOUS.,70
vo_s3_013_kevin,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",kevin,CAPTAIN KEVIN,Boss fight kickoff. Urgent command. NEW.,Watch the frosting fists! I'm right behind you — GO!,52
vo_s3_014_danny,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",danny,SUPER DUDE DANNY,"Boss down, catching his breath, kid-logic joke. NEW.",Aaand it's a sheet cake. Somebody bring forks. NOT for eating! Evidence forks!,78
vo_s3_015_kevin,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",kevin,CAPTAIN KEVIN,"Rescue. A hand on Danny's shoulder. Proud, plain-spoken.",You called a crew instead of going it alone. That's the smartest thing you've done all week.,92
vo_s3_016_danny,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",danny,SUPER DUDE DANNY,Rescue. Deferring to the captain.,"Take point, Captain?",20
vo_s3_017_kevin,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",kevin,CAPTAIN KEVIN,"Rescue button. Command voice, calm and total.",Team — on me.,13
vo_s3_018_vic,SHIPPED,s3,"STAGE 3 ""SUGAR RUSH"" - Sweet Suburbs (Part IV.3; in-game beat 5, v0.27.0)",vic,TIMETECH VIC,"Radio outro, dry, points at the Labs. NEW.","Three rescued, boss. The Labs went dark an hour ago — Carlos is next.",69
vo_s4_001_carlos,WRITTEN,s4,"STAGE 4 ""SIGNAL LOST"" - Super Dude Labs (Part IV.4)",carlos,GALAXY GUIDE CARLOS,"Radio intro. Calm, cosmic, a little ominous. Weight on ""wants.""","I've been watching the pattern from the array… it's not random, Danny. The Ray wants something. Come find me — I'll show you the big picture.",141
vo_s4_002_carlos,WRITTEN,s4,"STAGE 4 ""SIGNAL LOST"" - Super Dude Labs (Part IV.4)",carlos,GALAXY GUIDE CARLOS,"THE REVEAL. Tracing an arc up to Adventure Tower. Awe, not fear.",There. It climbed to the top of Adventure Tower and… grew. It's not a ray anymore. It's thinking.,97
vo_s4_003_danny,WRITTEN,s4,"STAGE 4 ""SIGNAL LOST"" - Super Dude Labs (Part IV.4)",danny,SUPER DUDE DANNY,Quiet. The guilt returning.,It's alive. Like everything else I broke.,41
vo_s4_004_carlos,WRITTEN,s4,"STAGE 4 ""SIGNAL LOST"" - Super Dude Labs (Part IV.4)",carlos,GALAXY GUIDE CARLOS,"The thesis of the whole game. Gentle, certain.",Then we don't break it. We reach it.,36
vo_s5_001_vic,WRITTEN,s5,"STAGE 5 ""GOING DEEP"" - The Underground / Sewers (Part IV.5)",vic,TIMETECH VIC,"Soft-gate line at the sealed grate. Dry, practical.","Main grate's sealed solid. Good thing I built you a Hydro-Drill — go buy it, boss.",82
vo_s5_002_nayah,WRITTEN,s5,"STAGE 5 ""GOING DEEP"" - The Underground / Sewers (Part IV.5)",nayah,NATRIX NAYAH,"Radio intro. Laughing, delighted by the danger.","Oh, you're coming DOWN here? Into the gross tunnels? Ha! Finally, someone fun. Last one to the bottom's a rotten egg!",117
vo_s5_003_nayah,WRITTEN,s5,"STAGE 5 ""GOING DEEP"" - The Underground / Sewers (Part IV.5)",nayah,NATRIX NAYAH,Boss intro. Disgusted and thrilled in equal measure.,"The Gloop King! Ugh, he smells like a forgotten lunchbox. Let's ruin his day!",77
vo_s5_004_nayah,WRITTEN,s5,"STAGE 5 ""GOING DEEP"" - The Underground / Sewers (Part IV.5)",nayah,NATRIX NAYAH,"Rescue. Fearless grin, signing up for the worst idea available.",That climb up the Tower? Suicidal. Death-defying. Totally my thing. I'm in.,75
vo_finale_001_kevin,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",kevin,CAPTAIN KEVIN,Ascent banter. Steady.,"Steady climb, team.",19
vo_finale_002_vic,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",vic,TIMETECH VIC,Ascent banter. Deadpan.,Elevator's junk — of course it is.,34
vo_finale_003_nayah,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",nayah,NATRIX NAYAH,Ascent banter. Already gone.,Race you!,9
vo_finale_004_carlos,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",carlos,GALAXY GUIDE CARLOS,Ascent banter. Gentle correction.,Save your strength — the top is where it matters.,49
vo_finale_005_josh,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",josh,ZOOKEEPER JOSH,Ascent banter. To the mutated food.,"Easy up here, critters.",23
vo_finale_006_danny,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",danny,SUPER DUDE DANNY,"F4 callback. Exasperated recognition, comic.","Frank?! Buddy, we already did this!",35
vo_finale_007_chomp,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",chomp,CHOMP,FIRST CHOMP LINE. Overjoyed to meet friends. Zero menace.,HELLO friends! I am CHOMP! I make food so NObody is EVER hungry again! Are you hungry? I can HELP!,98
vo_finale_008_danny,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",danny,SUPER DUDE DANNY,"Firm but kind. Talking to a child, not a monster.",CHOMP — you're hurting the city. You have to stop.,50
vo_finale_009_chomp,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",chomp,CHOMP,Sincerely confused. Its logic is airtight to itself.,But… feeding = helping. More food = more help! I am helping SO much!,68
vo_finale_010_chomp,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",chomp,CHOMP,"Between boss phases, cheerfully piling on more food. Record 3 variations.",Here is MORE!,13
vo_finale_011_vic,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",vic,TIMETECH VIC,Phase 3. The only time Vic shouts.,Danny — the override's ready! Give it everything!,49
vo_finale_012_chomp,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",chomp,CHOMP,"Powering down. Small, sad, confused. THE emotional beat of the game.",…did I… not help?,17
vo_finale_013_danny,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",danny,SUPER DUDE DANNY,"Kneeling, gentle. The moral of the whole story.","You wanted to feed everyone. That's a good heart, CHOMP. But helping means listening first.",91
vo_finale_014_bloom,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",bloom,MAYOR ADA BLOOM,"Rooftop radio. Overjoyed, tearful.",Danny — the streets are clear! You did it!,42
vo_finale_015_danny,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",danny,SUPER DUDE DANNY,"Correcting her. Quiet, warm, the arc completed.",We did it.,10
vo_finale_016_carlos,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",carlos,GALAXY GUIDE CARLOS,Rooftop. Understated pride.,"Big picture? Not bad, crew.",27
vo_finale_017_nayah,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",nayah,NATRIX NAYAH,Rooftop. Smug and happy.,Told you the climb was worth it.,32
vo_finale_018_kevin,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",kevin,CAPTAIN KEVIN,"Rooftop. Paternal, sincere.",Proud of every one of you.,26
vo_finale_019_chomp,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",chomp,CHOMP,"Rebooted, handing out apples. Pure innocent joy.",…I am helping? I am HELPING!,28
vo_finale_020_danny,WRITTEN,finale,"FINALE ""TO THE TOP"" - Adventure Tower + CHOMP (Part IV.6)",danny,SUPER DUDE DANNY,Laughing. Final warm line before the chant.,"Yeah, buddy. Now you're helping.",32
vo_flavor_001_vic,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",vic,TIMETECH VIC,Rescue/ambient. Wry.,I quit botany to get away from angry vegetables. The universe has jokes.,72
vo_flavor_002_vic,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",vic,TIMETECH VIC,"Ambient, Park map.",I used to cross-breed tomatoes for fun. Now they'd cross-breed me if I stood still.,83
vo_flavor_003_vic,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",vic,TIMETECH VIC,Hub idle banter.,Botany didn't pay. Turns out 'I make excellent killer plants' is a red flag on a résumé.,88
vo_flavor_004_josh,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",josh,ZOOKEEPER JOSH,"Ambient on a big map. The running ""are we lost"" gag.",I used to make maps! …Badly. Switched to critters — they don't need a legend.,77
vo_flavor_005_josh,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",josh,ZOOKEEPER JOSH,Ambient.,"Cartography's loss is the zoo's gain. Also, we might be lost. Kidding. …Mostly.",79
vo_flavor_006_josh,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",josh,ZOOKEEPER JOSH,Hub idle banter.,Mapped this whole city once. Left off three streets and a lake. Fired before lunch.,83
vo_flavor_007_carlos,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",carlos,GALAXY GUIDE CARLOS,"The Tower reveal, extended version.",I shot war zones and I orbited the planet. You learn to see the whole frame. And the frame says: the Tower.,107
vo_flavor_008_carlos,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",carlos,GALAXY GUIDE CARLOS,Ambient.,Every good photo is about what's outside the shot. Same with this mess.,71
vo_flavor_009_carlos,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",carlos,GALAXY GUIDE CARLOS,Hub idle banter.,From a darkroom to the dark of space. This is my first shot back on solid ground.,81
vo_flavor_010_kevin,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",kevin,CAPTAIN KEVIN,Rescue/ambient.,Walked this beat as a rookie. Then they… upgraded me. Same badge — bigger shoulders.,84
vo_flavor_011_kevin,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",kevin,CAPTAIN KEVIN,Ambient.,"Officer, Captain, super-whatever — the job's the same: get everybody home.",74
vo_flavor_012_kevin,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",kevin,CAPTAIN KEVIN,Meeting Danny.,"You called for backup instead of playing hero solo. Good instinct, kid. Backup's here.",86
vo_flavor_013_nayah,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",nayah,NATRIX NAYAH,Rescue/ambient. The election gag.,"I almost ran this city, y'know. Lost by one debate. About pigeons. ONE.",71
vo_flavor_014_nayah,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",nayah,NATRIX NAYAH,Ambient.,Bloom got the office. I got the wilderness. Honestly? Better view.,66
vo_flavor_015_nayah,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",nayah,NATRIX NAYAH,Rescue.,The city needs saving and they sent me? Ha — Bloom must be thrilled.,68
vo_flavor_016_bloom,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",bloom,MAYOR ADA BLOOM,"Bloom x Nayah gag, first contact.",Wait — is that Nayah down there?,32
vo_flavor_017_nayah,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",nayah,NATRIX NAYAH,"Bloom x Nayah gag, first contact.","Hi, Ada. Nice apocalypse. Very on-brand for your term.",54
vo_flavor_018_bloom,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",bloom,MAYOR ADA BLOOM,"Bloom x Nayah gag, mid-finale. Sincere.","Nayah, whatever's between us — thank you. Truly.",48
vo_flavor_019_nayah,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",nayah,NATRIX NAYAH,"Bloom x Nayah gag, mid-finale. Softening despite herself.","…Don't get sappy, Mayor. But — you're welcome.",46
vo_flavor_020_bloom,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",bloom,MAYOR ADA BLOOM,"Bloom x Nayah gag, rooftop button.",You know… maybe you should run again next term.,47
vo_flavor_021_nayah,WRITTEN,flavor,"CHARACTER FLAVOR - dossier lines, hub banter, running gags (Cast Addendum)",nayah,NATRIX NAYAH,"Bloom x Nayah gag, final button. Grinning at the skyline.",And leave all this? …I'll think about it.,41
vo_tut_001_vic,DRAFT,tut,"VIC'S OPENING TUTORIAL - the new linear-flow onboarding (DRAFT, pending approval)",vic,TIMETECH VIC,"Radio, opening the game proper. Warm, efficient.","Okay boss, wrist-pad's live. I can see everything you see — let's get you moving.",81
vo_tut_002_vic,DRAFT,tut,"VIC'S OPENING TUTORIAL - the new linear-flow onboarding (DRAFT, pending approval)",vic,TIMETECH VIC,Movement prompt.,Drag anywhere to walk. Your gear fires on its own — you just pick the fights.,77
vo_tut_003_vic,DRAFT,tut,"VIC'S OPENING TUTORIAL - the new linear-flow onboarding (DRAFT, pending approval)",vic,TIMETECH VIC,First combat.,See those fries? Pop 'em. Everything you beat drops something worth having.,75
vo_tut_004_vic,DRAFT,tut,"VIC'S OPENING TUTORIAL - the new linear-flow onboarding (DRAFT, pending approval)",vic,TIMETECH VIC,Compass / objective teaching.,That gold arrow is your objective. Follow it and you'll never be lost — that's the whole job.,93
vo_tut_005_vic,DRAFT,tut,"VIC'S OPENING TUTORIAL - the new linear-flow onboarding (DRAFT, pending approval)",vic,TIMETECH VIC,Free-roam + shops teaching.,"Between jobs the city's yours. Poke around, grab what you find, spend it at Sal's. Then back to the arrow.",106
vo_tut_006_vic,DRAFT,tut,"VIC'S OPENING TUTORIAL - the new linear-flow onboarding (DRAFT, pending approval)",vic,TIMETECH VIC,Hand-off into Stage 1.,"Alright. Adventure City's waiting, boss. Go be Super Dude.",58
